Material;DataHora;Estoque;Custo_Unitario;Custo_Total
Máscaras N95;2024-08-27 12:00:00;287;4,02;1153,74
Álcool 70%;2024-11-11 15:00:00;559;2,03;1134,77
Adrenalina;2024-08-30 06:00:00;315;5,07;1597,05
Seringas;2024-04-12 06:00:00;171;0,44;75,24
Algodão;2024-11-26 09:00:00;284;0,25;71
Gaze Estéril;2024-11-11 12:00:00;315;0,41;129,15
Paracetamol;2024-06-27 09:00:00;494;1,51;745,94
Luvas Cirúrgicas;2024-02-02 00:00:00;1299;0,72;935,28
Adrenalina;2024-11-06 00:00:00;575;4,93;2834,75
Seringas;2024-09-10 21:00:00;582;0,49;285,18
Soro Fisiológico;2024-01-23 15:00:00;458;3,03;1387,74
Álcool 70%;2024-10-09 03:00:00;182;1,97;358,54
Dipirona;2024-02-14 18:00:00;539;1,29;695,31
Gaze Estéril;2024-03-03 00:00:00;285;0,4;114
Algodão;2024-03-04 18:00:00;207;0,25;51,75
Soro Fisiológico;2024-12-08 18:00:00;198;3,02;597,96
Adrenalina;2024-06-18 12:00:00;205;4,97;1018,85
Luvas Cirúrgicas;2024-03-31 00:00:00;266;0,79;210,14
Álcool 70%;2024-11-27 21:00:00;345;1,97;679,65
Algodão;2024-06-26 15:00:00;527;0,25;131,75
Máscaras N95;2024-12-20 21:00:00;276;4,03;1112,28
Soro Fisiológico;2024-04-18 15:00:00;383;2,99;1145,17
Álcool 70%;2024-07-30 12:00:00;576;2;1152
Paracetamol;2024-05-15 21:00:00;487;1,48;720,76
Paracetamol;2024-02-01 06:00:00;529;1,48;782,92
Algodão;2024-05-02 06:00:00;214;0,25;53,5
Adrenalina;2024-06-03 06:00:00;466;5,04;2348,64
Soro Fisiológico;2024-05-21 18:00:00;1320;2,99;3946,8
Seringas;2024-01-13 12:00:00;786;0,43;337,98
Máscaras N95;2024-11-02 21:00:00;289;4,79;1384,31
Paracetamol;2024-10-12 18:00:00;460;1,51;694,6
Adrenalina;2024-07-20 12:00:00;448;5,04;2257,92
Máscaras N95;2024-08-03 12:00:00;300;4,71;1413
Dipirona;2024-05-29 15:00:00;501;1,3;651,3
Algodão;2024-12-31 15:00:00;587;0,25;146,75
Máscaras N95;2024-12-13 03:00:00;310;4,62;1432,2
Soro Fisiológico;2024-09-13 12:00:00;376;3,02;1135,52
Seringas;2024-11-09 09:00:00;153;0,47;71,91
Luvas Cirúrgicas;2024-02-15 18:00:00;39;0,92;35,88
Soro Fisiológico;2024-08-05 00:00:00;364;2,98;1084,72
Soro Fisiológico;2024-09-25 06:00:00;234;3,03;709,02
Máscaras N95;2024-11-17 06:00:00;296;5,14;1521,44
Seringas;2024-08-30 09:00:00;150;0,53;79,5
Dipirona;2024-03-03 03:00:00;475;1,27;603,25
Seringas;2024-02-10 00:00:00;653;0,47;306,91
Adrenalina;2024-08-07 15:00:00;274;4,91;1345,34
Adrenalina;2024-11-08 09:00:00;155;5,06;784,3
Dipirona;2024-08-15 15:00:00;504;1,3;655,2
Gaze Estéril;2024-09-26 15:00:00;301;0,39;117,39
Seringas;2024-01-09 03:00:00;308;0,48;147,84
Adrenalina;2024-12-16 06:00:00;368;4,98;1832,64
Seringas;2024-12-30 21:00:00;415;0,57;236,55
Luvas Cirúrgicas;2024-05-01 21:00:00;80;0,78;62,4
Máscaras N95;2024-12-30 18:00:00;316;5,15;1627,4
Algodão;2024-12-25 03:00:00;531;0,25;132,75
Seringas;2024-02-17 18:00:00;369;0,49;180,81
Máscaras N95;2024-09-04 18:00:00;312;4,45;1388,4
Luvas Cirúrgicas;2024-10-21 00:00:00;94;0,82;77,08
Gaze Estéril;2024-01-08 03:00:00;307;0,4;122,8
Algodão;2024-09-24 15:00:00;301;0,25;75,25
Adrenalina;2024-12-18 03:00:00;246;5,04;1239,84
Soro Fisiológico;2024-07-16 06:00:00;287;3;861
Dipirona;2024-01-16 03:00:00;468;1,32;617,76
Máscaras N95;2024-09-23 09:00:00;290;4,42;1281,8
Dipirona;2024-11-17 00:00:00;504;1,3;655,2
Algodão;2024-10-18 18:00:00;169;0,25;42,25
Luvas Cirúrgicas;2024-11-05 18:00:00;127;0,85;107,95
Soro Fisiológico;2024-07-22 00:00:00;462;2,94;1358,28
Adrenalina;2024-09-24 15:00:00;282;5,09;1435,38
Seringas;2024-02-11 03:00:00;413;0,53;218,89
Luvas Cirúrgicas;2024-04-07 15:00:00;23;0,75;17,25
Luvas Cirúrgicas;2024-05-06 12:00:00;60;0,7;42
Dipirona;2024-01-07 18:00:00;496;1,32;654,72
Adrenalina;2024-09-11 15:00:00;324;5,04;1632,96
Seringas;2024-12-12 21:00:00;497;0,46;228,62
Paracetamol;2024-08-28 03:00:00;482;1,5;723
Máscaras N95;2024-12-23 15:00:00;320;4,15;1328
Dipirona;2024-01-24 09:00:00;531;1,3;690,3
Luvas Cirúrgicas;2024-08-20 09:00:00;499;0,72;359,28
Soro Fisiológico;2024-03-09 09:00:00;230;2,96;680,8
Paracetamol;2024-11-26 21:00:00;537;1,53;821,61
Luvas Cirúrgicas;2024-03-15 00:00:00;552;0,84;463,68
Luvas Cirúrgicas;2024-02-03 00:00:00;153;0,82;125,46
Dipirona;2024-07-18 15:00:00;482;1,3;626,6
Dipirona;2024-07-01 00:00:00;500;1,27;635
Algodão;2024-04-03 21:00:00;340;0,25;85
Seringas;2024-02-19 09:00:00;561;0,53;297,33
Paracetamol;2024-10-05 15:00:00;503;1,5;754,5
Seringas;2024-03-23 00:00:00;406;0,53;215,18
Adrenalina;2024-11-10 12:00:00;306;5,03;1539,18
Algodão;2024-03-29 00:00:00;437;0,25;109,25
Luvas Cirúrgicas;2024-10-23 15:00:00;769;0,77;592,13
Máscaras N95;2024-02-09 21:00:00;311;4,53;1408,83
Algodão;2024-11-12 03:00:00;99;0,25;24,75
Luvas Cirúrgicas;2024-10-25 09:00:00;593;0,7;415,1
Luvas Cirúrgicas;2024-11-21 09:00:00;424;0,76;322,24
Gaze Estéril;2024-05-06 06:00:00;307;0,4;122,8
Máscaras N95;2024-06-21 09:00:00;304;4,33;1316,32
Seringas;2024-07-07 09:00:00;691;0,51;352,41
Álcool 70%;2024-02-18 21:00:00;465;1,97;916,05
Soro Fisiológico;2024-04-14 09:00:00;299;3;897
Álcool 70%;2024-02-22 09:00:00;103;1,98;203,94
Algodão;2024-05-06 18:00:00;452;0,25;113
Álcool 70%;2024-08-14 09:00:00;401;2;802
Álcool 70%;2024-04-05 18:00:00;358;2,02;723,16
Álcool 70%;2024-10-19 12:00:00;284;2,01;570,84
Gaze Estéril;2024-05-24 09:00:00;304;0,4;121,6
Seringas;2024-07-17 21:00:00;477;0,56;267,12
Seringas;2024-01-25 12:00:00;106;0,43;45,58
Soro Fisiológico;2024-07-27 21:00:00;228;2,99;681,72
Seringas;2024-12-22 09:00:00;374;0,54;201,96
Máscaras N95;2024-06-30 03:00:00;307;4,62;1418,34
Seringas;2024-07-06 03:00:00;292;0,43;125,56
Dipirona;2024-12-16 03:00:00;492;1,32;649,44
Algodão;2024-07-09 15:00:00;442;0,25;110,5
Máscaras N95;2024-05-23 18:00:00;314;4,59;1441,26
Luvas Cirúrgicas;2024-04-19 03:00:00;371;0,88;326,48
Gaze Estéril;2024-02-24 06:00:00;279;0,39;108,81
Soro Fisiológico;2024-07-17 03:00:00;454;2,95;1339,3
Soro Fisiológico;2024-08-12 09:00:00;395;2,97;1173,15
Adrenalina;2024-11-23 12:00:00;335;5,06;1695,1
Paracetamol;2024-07-04 09:00:00;492;1,47;723,24
Gaze Estéril;2024-02-18 15:00:00;315;0,4;126
Seringas;2024-09-30 18:00:00;214;0,53;113,42
Seringas;2024-07-11 06:00:00;103;0,44;45,32
Soro Fisiológico;2024-01-07 00:00:00;321;2,95;946,95
Seringas;2024-05-12 21:00:00;147;0,57;83,79
Máscaras N95;2024-02-29 00:00:00;296;5,17;1530,32
Álcool 70%;2024-10-02 12:00:00;392;1,99;780,08
Soro Fisiológico;2024-04-12 21:00:00;479;3;1437
Soro Fisiológico;2024-05-03 06:00:00;177;3,01;532,77
Algodão;2024-11-19 12:00:00;513;0,25;128,25
Soro Fisiológico;2024-02-27 18:00:00;336;2,98;1001,28
Algodão;2024-04-28 12:00:00;308;0,25;77
Dipirona;2024-05-06 09:00:00;531;1,31;695,61
Dipirona;2024-04-17 15:00:00;475;1,31;622,25
Soro Fisiológico;2024-07-25 21:00:00;388;3,04;1179,52
Adrenalina;2024-01-13 06:00:00;267;4,94;1318,98
Soro Fisiológico;2024-07-20 15:00:00;206;2,97;611,82
Luvas Cirúrgicas;2024-06-04 03:00:00;1326;0,87;1153,62
Máscaras N95;2024-06-16 06:00:00;268;4,52;1211,36
Seringas;2024-04-16 12:00:00;175;0,43;75,25
Soro Fisiológico;2024-06-17 00:00:00;374;2,96;1107,04
Dipirona;2024-03-06 09:00:00;503;1,28;643,84
Paracetamol;2024-03-09 18:00:00;517;1,47;759,99
Soro Fisiológico;2024-06-11 21:00:00;318;3,04;966,72
Máscaras N95;2024-07-11 06:00:00;288;4,62;1330,56
Luvas Cirúrgicas;2024-03-07 12:00:00;200;0,85;170
Paracetamol;2024-10-02 03:00:00;536;1,49;798,64
Adrenalina;2024-08-21 15:00:00;314;4,92;1544,88
Paracetamol;2024-04-01 15:00:00;495;1,52;752,4
Máscaras N95;2024-05-13 12:00:00;301;4,7;1414,7
Máscaras N95;2024-03-20 03:00:00;281;4,68;1315,08
Seringas;2024-12-09 21:00:00;804;0,55;442,2
Paracetamol;2024-11-29 00:00:00;513;1,52;779,76
Paracetamol;2024-12-12 12:00:00;501;1,52;761,52
Dipirona;2024-07-11 15:00:00;527;1,31;690,37
Soro Fisiológico;2024-09-30 09:00:00;290;2,95;855,5
Gaze Estéril;2024-11-05 18:00:00;301;0,4;120,4
Paracetamol;2024-03-21 12:00:00;481;1,52;731,12
Gaze Estéril;2024-02-21 00:00:00;303;0,4;121,2
Álcool 70%;2024-12-02 00:00:00;176;1,96;344,96
Gaze Estéril;2024-02-12 00:00:00;287;0,39;111,93
Luvas Cirúrgicas;2024-09-06 15:00:00;152;0,82;124,64
Álcool 70%;2024-01-09 03:00:00;438;1,99;871,62
Algodão;2024-01-08 12:00:00;190;0,25;47,5
Dipirona;2024-11-08 03:00:00;480;1,28;614,4
Algodão;2024-11-07 06:00:00;263;0,25;65,75
Máscaras N95;2024-10-28 15:00:00;274;3,83;1049,42
Luvas Cirúrgicas;2024-09-28 12:00:00;176;0,78;137,28
Algodão;2024-10-15 12:00:00;392;0,25;98
Adrenalina;2024-06-25 09:00:00;458;4,96;2271,68
Paracetamol;2024-05-20 06:00:00;564;1,51;851,64
Adrenalina;2024-08-25 09:00:00;327;4,92;1608,84
Algodão;2024-06-25 00:00:00;151;0,25;37,75
Algodão;2024-08-09 03:00:00;285;0,25;71,25
Máscaras N95;2024-12-07 21:00:00;300;5,03;1509
Seringas;2024-07-25 15:00:00;224;0,53;118,72
Soro Fisiológico;2024-11-09 09:00:00;356;2,99;1064,44
Paracetamol;2024-03-13 09:00:00;512;1,49;762,88
Adrenalina;2024-04-21 00:00:00;389;4,9;1906,1
Algodão;2024-09-17 03:00:00;591;0,25;147,75
Adrenalina;2024-02-01 21:00:00;292;5,03;1468,76
Álcool 70%;2024-03-16 03:00:00;208;1,98;411,84
Álcool 70%;2024-01-18 12:00:00;261;1,97;514,17
Álcool 70%;2024-04-27 06:00:00;446;2,03;905,38
Gaze Estéril;2024-05-01 12:00:00;323;0,41;132,43
Luvas Cirúrgicas;2024-09-05 18:00:00;523;0,74;387,02
Gaze Estéril;2024-04-04 18:00:00;293;0,4;117,2
Soro Fisiológico;2024-04-21 06:00:00;179;3,04;544,16
Adrenalina;2024-10-19 12:00:00;206;5,1;1050,6
Álcool 70%;2024-06-18 03:00:00;176;1,97;346,72
Dipirona;2024-07-15 15:00:00;457;1,3;594,1
Adrenalina;2024-12-12 15:00:00;290;5,08;1473,2
Luvas Cirúrgicas;2024-07-05 06:00:00;250;0,89;222,5
Soro Fisiológico;2024-12-20 21:00:00;275;3;825
Adrenalina;2024-04-22 21:00:00;268;4,98;1334,64
Álcool 70%;2024-09-07 12:00:00;99;2,04;201,96
Máscaras N95;2024-01-29 18:00:00;314;4,83;1516,62
Dipirona;2024-09-21 21:00:00;544;1,31;712,64
Adrenalina;2024-09-29 06:00:00;176;5,1;897,6
Gaze Estéril;2024-09-11 12:00:00;302;0,4;120,8
Soro Fisiológico;2024-08-08 03:00:00;229;2,96;677,84
Máscaras N95;2024-11-27 12:00:00;320;5,06;1619,2
Luvas Cirúrgicas;2024-09-11 03:00:00;171;0,73;124,83
Adrenalina;2024-05-01 00:00:00;356;4,93;1755,08
Algodão;2024-02-16 09:00:00;229;0,25;57,25
Soro Fisiológico;2024-07-17 06:00:00;318;2,98;947,64
Soro Fisiológico;2024-11-06 00:00:00;300;2,98;894
Máscaras N95;2024-06-21 06:00:00;304;4,13;1255,52
Máscaras N95;2024-12-10 15:00:00;305;4,95;1509,75
Dipirona;2024-08-02 15:00:00;525;1,32;693
Dipirona;2024-08-18 09:00:00;481;1,29;620,49
Luvas Cirúrgicas;2024-03-08 21:00:00;84;0,83;69,72
Algodão;2024-07-31 18:00:00;257;0,25;64,25
Gaze Estéril;2024-12-05 21:00:00;308;0,39;120,12
Luvas Cirúrgicas;2024-12-07 09:00:00;237;0,71;168,27
Algodão;2024-08-06 12:00:00;589;0,25;147,25
Dipirona;2024-05-10 09:00:00;480;1,3;624
Dipirona;2024-07-02 03:00:00;468;1,28;599,04
Luvas Cirúrgicas;2024-05-31 21:00:00;327;0,91;297,57
Luvas Cirúrgicas;2024-09-13 06:00:00;114;0,72;82,08
Soro Fisiológico;2024-10-20 09:00:00;283;3,05;863,15
Algodão;2024-07-03 09:00:00;378;0,25;94,5
Álcool 70%;2024-07-01 09:00:00;170;2,02;343,4
Algodão;2024-03-28 03:00:00;316;0,25;79
Dipirona;2024-06-02 12:00:00;521;1,31;682,51
Máscaras N95;2024-06-17 06:00:00;308;4,39;1352,12
Gaze Estéril;2024-06-15 09:00:00;294;0,39;114,66
Algodão;2024-03-06 03:00:00;326;0,25;81,5
Seringas;2024-08-20 21:00:00;498;0,51;253,98
Máscaras N95;2024-04-26 18:00:00;302;4,08;1232,16
Gaze Estéril;2024-01-02 15:00:00;308;0,41;126,28
Algodão;2024-03-31 06:00:00;487;0,25;121,75
Adrenalina;2024-08-29 00:00:00;294;4,92;1446,48
Álcool 70%;2024-06-13 21:00:00;396;1,99;788,04
Soro Fisiológico;2024-08-10 00:00:00;352;3,05;1073,6
Gaze Estéril;2024-10-11 21:00:00;302;0,4;120,8
Luvas Cirúrgicas;2024-04-15 03:00:00;246;0,75;184,5
Máscaras N95;2024-12-10 21:00:00;298;3,87;1153,26
Soro Fisiológico;2024-12-08 03:00:00;301;3,03;912,03
Paracetamol;2024-12-05 06:00:00;540;1,49;804,6
Álcool 70%;2024-12-01 18:00:00;270;2,04;550,8
Seringas;2024-12-14 03:00:00;83;0,49;40,67
Algodão;2024-03-13 21:00:00;236;0,25;59
Dipirona;2024-03-29 18:00:00;446;1,31;584,26
Máscaras N95;2024-04-05 21:00:00;313;4,52;1414,76
Dipirona;2024-04-29 15:00:00;546;1,3;709,8
Álcool 70%;2024-09-06 15:00:00;335;1,98;663,3
Soro Fisiológico;2024-12-05 03:00:00;272;2,99;813,28
Adrenalina;2024-03-28 00:00:00;317;5,04;1597,68
Paracetamol;2024-04-05 06:00:00;527;1,52;801,04
Máscaras N95;2024-01-05 03:00:00;297;4,81;1428,57
Soro Fisiológico;2024-07-11 06:00:00;401;3,01;1207,01
Soro Fisiológico;2024-06-11 12:00:00;234;2,98;697,32
Gaze Estéril;2024-02-05 06:00:00;298;0,4;119,2
Seringas;2024-03-18 21:00:00;291;0,48;139,68
Máscaras N95;2024-11-17 12:00:00;304;4,84;1471,36
Máscaras N95;2024-09-04 21:00:00;272;4,11;1117,92
Gaze Estéril;2024-11-22 00:00:00;303;0,39;118,17
Soro Fisiológico;2024-01-10 18:00:00;329;3,04;1000,16
Gaze Estéril;2024-11-25 09:00:00;320;0,41;131,2
Luvas Cirúrgicas;2024-09-01 00:00:00;201;0,71;142,71
Gaze Estéril;2024-08-02 12:00:00;295;0,39;115,05
Gaze Estéril;2024-09-08 06:00:00;301;0,4;120,4
Dipirona;2024-04-03 03:00:00;464;1,31;607,84
Luvas Cirúrgicas;2024-09-09 06:00:00;339;0,81;274,59
Álcool 70%;2024-10-10 03:00:00;401;2,03;814,03
Luvas Cirúrgicas;2024-09-30 18:00:00;119;0,68;80,92
Gaze Estéril;2024-07-28 06:00:00;312;0,4;124,8
Algodão;2024-03-24 15:00:00;81;0,25;20,25
Máscaras N95;2024-07-19 12:00:00;293;4,63;1356,59
Álcool 70%;2024-08-10 15:00:00;427;1,99;849,73
Seringas;2024-07-20 06:00:00;184;0,49;90,16
Gaze Estéril;2024-10-22 09:00:00;279;0,41;114,39
Algodão;2024-04-06 00:00:00;447;0,25;111,75
Máscaras N95;2024-12-15 18:00:00;311;3,83;1191,13
Álcool 70%;2024-09-04 03:00:00;297;2,02;599,94
Dipirona;2024-12-08 21:00:00;480;1,33;638,4
Algodão;2024-10-02 06:00:00;268;0,25;67
Luvas Cirúrgicas;2024-05-27 15:00:00;219;0,87;190,53
Dipirona;2024-02-07 18:00:00;473;1,31;619,63
Algodão;2024-10-22 03:00:00;402;0,25;100,5
Paracetamol;2024-08-04 09:00:00;503;1,48;744,44
Soro Fisiológico;2024-08-14 18:00:00;495;3;1485
Adrenalina;2024-04-22 18:00:00;308;4,91;1512,28
Máscaras N95;2024-04-11 09:00:00;295;4,49;1324,55
Luvas Cirúrgicas;2024-07-23 21:00:00;628;0,77;483,56
Seringas;2024-04-27 18:00:00;26;0,46;11,96
Seringas;2024-07-03 06:00:00;471;0,53;249,63
Seringas;2024-10-06 12:00:00;97;0,53;51,41
Dipirona;2024-03-11 12:00:00;471;1,3;612,3
Gaze Estéril;2024-12-18 21:00:00;312;0,4;124,8
Máscaras N95;2024-01-25 18:00:00;281;4,15;1166,15
Máscaras N95;2024-12-02 00:00:00;296;3,85;1139,6
Luvas Cirúrgicas;2024-06-03 18:00:00;228;0,86;196,08
Máscaras N95;2024-10-01 03:00:00;308;4,27;1315,16
Soro Fisiológico;2024-10-15 09:00:00;314;2,97;932,58
Dipirona;2024-08-27 15:00:00;503;1,28;643,84
Paracetamol;2024-08-11 21:00:00;536;1,51;809,36
Álcool 70%;2024-01-18 18:00:00;264;2,03;535,92
Soro Fisiológico;2024-04-08 06:00:00;208;2,98;619,84
Paracetamol;2024-03-05 12:00:00;478;1,5;717
Máscaras N95;2024-08-08 00:00:00;290;4,28;1241,2
Seringas;2024-05-16 03:00:00;34;0,5;17
Adrenalina;2024-11-12 18:00:00;280;4,95;1386
Dipirona;2024-03-14 18:00:00;487;1,3;633,1
Luvas Cirúrgicas;2024-01-08 03:00:00;1020;0,71;724,2
Soro Fisiológico;2024-09-21 06:00:00;191;3,05;582,55
Paracetamol;2024-11-19 03:00:00;504;1,49;750,96
Adrenalina;2024-11-03 12:00:00;344;5,04;1733,76
Seringas;2024-11-24 03:00:00;311;0,57;177,27
Seringas;2024-09-18 21:00:00;761;0,43;327,23
Paracetamol;2024-10-19 18:00:00;557;1,51;841,07
Seringas;2024-08-04 12:00:00;474;0,45;213,3
Adrenalina;2024-07-11 09:00:00;281;5,07;1424,67
Soro Fisiológico;2024-02-03 00:00:00;217;2,98;646,66
Adrenalina;2024-10-04 06:00:00;239;5,09;1216,51
Dipirona;2024-04-07 06:00:00;506;1,29;652,74
Luvas Cirúrgicas;2024-05-28 06:00:00;223;0,69;153,87
Álcool 70%;2024-09-09 12:00:00;170;1,97;334,9
Soro Fisiológico;2024-09-27 15:00:00;310;2,97;920,7
Dipirona;2024-05-28 09:00:00;475;1,28;608
Seringas;2024-09-10 03:00:00;266;0,48;127,68
Seringas;2024-01-17 18:00:00;49;0,45;22,05
Soro Fisiológico;2024-03-18 21:00:00;;3,04;708,32
Soro Fisiológico;2024-05-22 00:00:00;267;2,97;792,99
Gaze Estéril;2024-08-30 06:00:00;289;0,41;118,49
Álcool 70%;2024-08-13 00:00:00;380;2,04;775,2
Adrenalina;2024-12-11 06:00:00;507;5,07;2570,49
Algodão;2024-11-09 06:00:00;369;0,25;92,25
Adrenalina;2024-09-12 12:00:00;369;5,09;1878,21
Seringas;2024-08-27 12:00:00;191;0,47;89,77
Máscaras N95;2024-08-06 21:00:00;301;4,79;1441,79
Gaze Estéril;2024-08-24 03:00:00;303;0,4;121,2
Dipirona;2024-08-05 09:00:00;517;1,31;677,27
Soro Fisiológico;2024-10-31 00:00:00;303;3,04;921,12
Adrenalina;2024-06-20 12:00:00;205;4,91;1006,55
Dipirona;2024-01-06 15:00:00;489;1,32;645,48
Soro Fisiológico;2024-11-08 21:00:00;125;3,05;381,25
Máscaras N95;2024-10-02 09:00:00;291;3,89;1131,99
Algodão;2024-09-03 09:00:00;140;0,25;35
Máscaras N95;2024-08-21 00:00:00;299;5;1495
Álcool 70%;2024-02-22 06:00:00;219;2;438
Dipirona;2024-02-03 03:00:00;497;1,3;646,1
Paracetamol;2024-01-28 03:00:00;510;1,52;775,2
Luvas Cirúrgicas;2024-11-23 09:00:00;797;0,88;701,36
Gaze Estéril;2024-05-06 03:00:00;286;0,4;114,4
Máscaras N95;2024-12-11 12:00:00;322;4,76;1532,72
Algodão;2024-02-09 15:00:00;322;0,25;80,5
Seringas;2024-05-15 21:00:00;198;0,45;89,1
Luvas Cirúrgicas;2024-03-10 06:00:00;838;0,79;662,02
Seringas;2024-08-20 03:00:00;462;0,56;258,72
Soro Fisiológico;2024-05-19 03:00:00;252;2,97;748,44
Paracetamol;2024-07-21 00:00:00;492;1,48;728,16
Algodão;2024-10-11 03:00:00;325;0,25;81,25
Álcool 70%;2024-07-28 21:00:00;174;2,02;351,48
Paracetamol;2024-11-13 12:00:00;486;1,49;724,14
Soro Fisiológico;2024-09-26 21:00:00;420;3;1260
Adrenalina;2024-01-15 09:00:00;248;4,93;1222,64
Álcool 70%;2024-08-18 15:00:00;284;1,98;562,32
Paracetamol;2024-06-10 00:00:00;480;1,51;724,8
Seringas;2024-01-05 09:00:00;390;0,45;175,5
Máscaras N95;2024-10-21 00:00:00;323;4,19;1353,37
Adrenalina;2024-04-25 06:00:00;321;4,93;1582,53
Álcool 70%;2024-08-06 06:00:00;185;2,03;375,55
Álcool 70%;2024-12-30 21:00:00;104;2;208
Paracetamol;2024-02-22 21:00:00;501;1,48;741,48
Dipirona;2024-01-16 06:00:00;499;1,29;643,71
Soro Fisiológico;2024-05-24 18:00:00;41;2,99;122,59
